¿œ¿⁄,PM-10
2020-01-27,4
2020-01-28,11
2020-01-29,17
2020-01-30,18
2020-01-31,42
2020-02-01,69
2020-02-02,99
2020-02-03,58
2020-02-04,43
2020-02-05,26
2020-02-06,23
2020-02-07,38
2020-02-08,40
2020-02-09,31
2020-02-10,74
2020-02-11,77
2020-02-12,42
2020-02-13,30
2020-02-14,47
2020-02-15,46
2020-02-16,11
2020-02-17,14
2020-02-18,23
2020-02-19,41
2020-02-20,54
2020-02-21,57
2020-02-22,72
2020-02-23,34
2020-02-24,42
2020-02-25,10
2020-02-26,15
2020-02-27,28
2020-02-28,28
2020-02-29,24
2020-03-01,30
2020-03-02,37
2020-03-03,32
2020-03-04,30
2020-03-05,45
2020-03-06,49
2020-03-07,33
2020-03-08,26
2020-03-09,39
2020-03-10,20
2020-03-11,35
2020-03-12,38
2020-03-13,40
2020-03-14,26
2020-03-15,39
2020-03-16,29
2020-03-17,
2020-03-18,
2020-03-19,62
2020-03-20,59
2020-03-21,53
2020-03-22,66
2020-03-23,42
2020-03-24,45
2020-03-25,47
2020-03-26,41
2020-03-27,30
2020-03-28,39
2020-03-29,31
2020-03-30,33
2020-03-31,35
2020-04-01,52
2020-04-02,41
2020-04-03,42
2020-04-04,69
2020-04-05,40
2020-04-06,47
2020-04-07,79
2020-04-08,47
2020-04-09,45
2020-04-10,46
2020-04-11,32
2020-04-12,23
2020-04-13,20
2020-04-14,37
2020-04-15,37
2020-04-16,45
2020-04-17,30
2020-04-18,36
2020-04-19,27
2020-04-20,24
2020-04-21,32
2020-04-22,48
2020-04-23,52
2020-04-24,41
2020-04-25,68
2020-04-26,42
2020-04-27,36
2020-04-28,39
2020-04-29,44
2020-04-30,43
2020-05-01,50
2020-05-02,48
2020-05-03,26
2020-05-04,42
2020-05-05,47
2020-05-06,43
2020-05-07,31
2020-05-08,34
2020-05-09,20
2020-05-10,24
2020-05-11,59
2020-05-12,65
2020-05-13,53
2020-05-14,82
2020-05-15,32
2020-05-16,40
2020-05-17,46
2020-05-18,32
2020-05-19,32
2020-05-20,25
2020-05-21,37
2020-05-22,38
2020-05-23,26
2020-05-24,35
2020-05-25,34
2020-05-26,52
2020-05-27,38
2020-05-28,44
2020-05-29,44
2020-05-30,37
2020-05-31,42
2020-06-01,33
2020-06-02,26
2020-06-03,36
2020-06-04,51
2020-06-05,77
2020-06-06,77
2020-06-07,54
2020-06-08,41
2020-06-09,53
2020-06-10,47
2020-06-11,25
2020-06-12,31
2020-06-13,9
2020-06-14,12
2020-06-15,34
2020-06-16,35
2020-06-17,34
2020-06-18,15
2020-06-19,27
2020-06-20,42
2020-06-21,30
2020-06-22,27
2020-06-23,31
2020-06-24,22
2020-06-25,24
2020-06-26,21
2020-06-27,34
2020-06-28,45
2020-06-29,37
2020-06-30,12
2020-07-01,15
2020-07-02,32
2020-07-03,27
2020-07-04,19
2020-07-05,34
2020-07-06,34
2020-07-07,26
2020-07-08,39
2020-07-09,40
2020-07-10,13
2020-07-11,32
2020-07-12,20
2020-07-13,7
2020-07-14,13
2020-07-15,13
2020-07-16,28
2020-07-17,33
2020-07-18,29
2020-07-19,22
2020-07-20,22
2020-07-21,19
2020-07-22,15
2020-07-23,12
2020-07-24,14
2020-07-25,23
2020-07-26,28
2020-07-27,29
2020-07-28,16
2020-07-29,13
2020-07-30,16
2020-07-31,29
2020-08-01,27
2020-08-02,35
2020-08-03,40
2020-08-04,56
2020-08-05,38
2020-08-06,30
2020-08-07,43
2020-08-08,20
2020-08-09,12
2020-08-10,13
2020-08-11,23
2020-08-12,23
2020-08-13,25
2020-08-14,30
2020-08-15,33
2020-08-16,24
2020-08-17,33
2020-08-18,42
2020-08-19,51
2020-08-20,54
2020-08-21,58
2020-08-22,44
2020-08-23,39
2020-08-24,37
2020-08-25,40
2020-08-26,32
2020-08-27,31
2020-08-28,19
2020-08-29,19
2020-08-30,21
2020-08-31,20
2020-09-01,27
2020-09-02,18
2020-09-03,27
2020-09-04,58
2020-09-05,47
2020-09-06,18
2020-09-07,17
2020-09-08,71
2020-09-09,47
2020-09-10,33
2020-09-11,38
2020-09-12,12
2020-09-13,20
2020-09-14,29
2020-09-15,31
2020-09-16,24
2020-09-17,31
2020-09-18,32
2020-09-19,30
2020-09-20,29
2020-09-21,34
2020-09-22,26
2020-09-23,17
2020-09-24,24
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,34
2020-10-01,28
2020-10-02,27
2020-10-03,29
2020-10-04,31
2020-10-05,30
2020-10-06,27
2020-10-07,26
2020-10-08,26
2020-10-09,30
2020-10-10,31
2020-10-11,32
2020-10-12,39
2020-10-13,29
2020-10-14,36
2020-10-15,32
2020-10-16,38
2020-10-17,37
2020-10-18,35
2020-10-19,40
2020-10-20,49
2020-10-21,44
2020-10-22,44
2020-10-23,27
2020-10-24,25
2020-10-25,35
2020-10-26,41
2020-10-27,54
2020-10-28,87
2020-10-29,41
2020-10-30,40
2020-10-31,34
2020-11-01,38
2020-11-02,59
2020-11-03,34
2020-11-04,30
2020-11-05,44
2020-11-06,47
2020-11-07,55
2020-11-08,63
2020-11-09,33
2020-11-10,36
2020-11-11,45
2020-11-12,46
2020-11-13,58
2020-11-14,67
2020-11-15,45
2020-11-16,63
2020-11-17,75
2020-11-18,55
2020-11-19,14
2020-11-20,21
2020-11-21,30
2020-11-22,26
2020-11-23,25
2020-11-24,37
2020-11-25,35
2020-11-26,56
2020-11-27,45
2020-11-28,16
2020-11-29,15
2020-11-30,19
2020-12-01,26
2020-12-02,26
2020-12-03,24
2020-12-04,18
2020-12-05,26
2020-12-06,34
2020-12-07,47
2020-12-08,29
2020-12-09,30
2020-12-10,40
2020-12-11,42
2020-12-12,41
2020-12-13,37
2020-12-14,10
2020-12-15,13
2020-12-16,14
2020-12-17,14
2020-12-18,26
2020-12-19,12
2020-12-20,14
2020-12-21,37
2020-12-22,55
2020-12-23,76
2020-12-24,59
2020-12-25,16
2020-12-26,36
2020-12-27,40
2020-12-28,27
2020-12-29,26
2020-12-30,9
2020-12-31,11
2021-01-01,18
2021-01-02,30
2021-01-03,25
2021-01-04,42
2021-01-05,33
2021-01-06,14
2021-01-07,13
2021-01-08,11
2021-01-09,14
2021-01-10,20
2021-01-11,27
2021-01-12,38
2021-01-13,79
2021-01-14,82
2021-01-15,57
2021-01-16,61
2021-01-17,10
2021-01-18,37
2021-01-19,23
2021-01-20,34
2021-01-21,30
2021-01-22,32
2021-01-23,23
2021-01-24,11
2021-01-25,21
2021-01-26,11
